Date,Open,High,Low,Close,Adj Close,Volume
2019-10-01,1.100000,1.120000,1.038000,1.075000,1.075000,42281191
2019-10-02,1.075000,1.068000,1.015000,1.025000,1.025000,40437011
2019-10-03,1.025000,1.050000,0.991000,1.025000,1.025000,32892922
2019-10-04,1.025000,1.050000,1.000000,1.025000,1.025000,15580966
2019-10-07,1.025000,1.100000,1.031000,1.070000,1.070000,28934820
2019-10-08,1.125000,1.128000,1.070000,1.075000,1.075000,34719807
2019-10-09,1.150000,1.150000,1.050000,1.100000,1.100000,21215164
2019-10-10,1.100000,1.110000,1.050000,1.075000,1.075000,23152553
2019-10-11,1.075000,1.119000,1.016000,1.050000,1.050000,49557493
2019-10-14,1.050000,1.119000,1.016000,1.050000,1.050000,15394638
2019-10-15,1.050000,1.188000,1.039000,1.150000,1.150000,76931424
2019-10-16,1.150000,1.174000,1.086000,1.125000,1.125000,32154576
2019-10-17,1.125000,1.150000,1.080000,1.125000,1.125000,22657279
2019-10-18,1.125000,1.200000,1.103000,1.140000,1.140000,46022523
2019-10-21,1.125000,1.150000,1.077000,1.100000,1.100000,18247479
2019-10-22,1.150000,1.200000,1.100000,1.125000,1.125000,40048931
2019-10-23,1.125000,1.150000,1.067000,1.100000,1.100000,13494400
2019-10-24,1.100000,1.150000,1.075000,1.100000,1.100000,17973900
2019-10-25,1.100000,1.165000,1.087000,1.120000,1.120000,30244260
2019-10-28,1.125000,1.165000,1.087000,1.150000,1.150000,54799535
2019-10-29,1.150000,1.150000,1.070000,1.075000,1.075000,38469908
2019-10-30,1.075000,1.150000,1.075000,1.100000,1.100000,33206420
2019-10-31,1.100000,1.117000,1.075000,1.075000,1.075000,20594423
2019-11-01,1.075000,1.169000,1.070000,1.150000,1.150000,48441644
2019-11-04,1.200000,1.220000,1.100000,1.125000,1.125000,40712291
2019-11-05,1.125000,1.150000,1.077000,1.100000,1.100000,38136705
2019-11-06,1.100000,1.120000,1.050000,1.075000,1.075000,28013185
2019-11-07,1.075000,1.100000,1.050000,1.075000,1.075000,46404874
2019-11-08,1.075000,1.100000,1.050000,1.075000,1.075000,35119976
2019-11-11,1.075000,1.100000,1.036000,1.075000,1.075000,31415509
2019-11-12,1.150000,1.174000,1.050000,1.075000,1.075000,48547152
2019-11-13,1.075000,1.075000,1.000000,1.025000,1.025000,39032595
2019-11-14,1.025000,1.100000,1.020000,1.025000,1.025000,18560966
2019-11-15,1.025000,1.090000,1.028000,1.080000,1.080000,26516476
2019-11-18,1.075000,1.098000,1.030000,1.075000,1.075000,21737940
2019-11-19,1.075000,1.060000,1.013000,1.025000,1.025000,22853623
2019-11-20,1.025000,1.063000,1.000000,1.025000,1.025000,17605987
2019-11-21,1.025000,1.047000,1.008000,1.030000,1.030000,28738453
2019-11-22,1.025000,1.050000,1.000000,1.025000,1.025000,39067667
2019-11-25,1.025000,1.047000,1.000000,1.025000,1.025000,37568791
2019-11-26,1.025000,1.036000,1.000000,1.025000,1.025000,24385715
2019-11-27,1.025000,1.100000,0.977000,1.025000,1.025000,39021113
2019-11-28,1.025000,1.038000,0.970000,1.025000,1.025000,47318077
2019-11-29,1.025000,1.050000,0.987000,1.025000,1.025000,26446469
